Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2024-01-01,New Year's Day,New Year's Day,NZ,False,True,,Public,
2024-01-02,Day after New Year's Day,Day after New Year's Day,NZ,False,True,,Public,
2024-01-22,Wellington Anniversary Day,Wellington Anniversary Day,NZ,False,False,,Public,"NZ-WGN,NZ-MWT"
2024-01-29,Auckland/Northland Anniversary Day,Auckland Anniversary Day,NZ,False,False,,Public,"NZ-AUK,NZ-NTL,NZ-MWT,NZ-WKO,NZ-GIS,NZ-BOP,NZ-HKB"
2024-01-29,Nelson Anniversary Day,Nelson Anniversary Day,NZ,False,False,,Public,NZ-NSN
2024-02-06,Waitangi Day,Waitangi Day,NZ,False,True,,Public,
2024-03-11,Taranaki Anniversary Day,Taranaki Anniversary Day,NZ,False,False,,Public,NZ-TKI
2024-03-25,Otago Anniversary Day,Otago Anniversary Day,NZ,False,False,,Public,NZ-OTA
2024-03-29,Good Friday,Good Friday,NZ,False,True,,Public,
2024-04-01,Easter Monday,Easter Monday,NZ,False,True,,Public,
2024-04-02,Southland Anniversary Day,Southland Anniversary Day,NZ,False,False,,Public,NZ-STL
2024-04-25,Anzac Day,Anzac Day,NZ,False,True,,Public,
2024-06-03,Queen's Birthday,Queen's Birthday,NZ,False,True,,Public,
2024-06-28,Matariki,Matariki,NZ,False,True,,Public,
2024-09-23,Dominion Day,Canterbury (South) Anniversary Day,NZ,False,False,,Public,NZ-CAN
2024-10-25,Hawke's Bay Anniversary Day,Hawke's Bay Anniversary Day,NZ,False,False,,Public,NZ-HKB
2024-10-28,Labour Day,Labour Day,NZ,False,True,,Public,
2024-11-04,Marlborough Anniversary Day,Marlborough Anniversary Day,NZ,False,False,,Public,NZ-MBH
2024-11-15,Canterbury (North & Central) Anniversary Day,Canterbury Anniversary Day,NZ,False,False,,Public,NZ-CAN
2024-12-02,Chatham Islands Anniversary Day,Chatham Islands Anniversary Day,NZ,False,False,,Public,NZ-CIT
2024-12-02,Westland Anniversary Day,Westland Anniversary Day,NZ,False,False,,Public,NZ-WTC
2024-12-25,Christmas Day,Christmas Day,NZ,False,True,,Public,
2024-12-26,Boxing Day,Boxing Day,NZ,False,True,,Public,
